Title,Laurier & Metcalfe bike counter - updated daily
2015-08-30,914
2015-08-31,2553
2015-09-01,2641
2015-09-02,2356
2015-09-03,2555
2015-09-04,2114
2015-09-05,858
2015-09-06,798
2015-09-07,739
2015-09-08,2327
2015-09-09,2230
2015-09-10,2673
2015-09-11,2497
2015-09-12,303
2015-09-13,285
2015-09-14,2197
2015-09-15,2739
2015-09-16,2697
2015-09-17,2597
2015-09-18,2572
2015-09-19,723
2015-09-20,893
2015-09-21,2420
2015-09-22,2609
2015-09-23,2628
2015-09-24,2614
2015-09-25,2368
2015-09-26,776
2015-09-27,824
2015-09-28,1742
2015-09-29,1386
2015-09-30,2070
2015-10-01,2028
2015-10-02,1791
2015-10-03,551
2015-10-04,506
2015-10-05,1936
2015-10-06,2110
2015-10-07,2168
2015-10-08,2029
2015-10-09,746
2015-10-10,448
2015-10-11,397
2015-10-12,519
2015-10-13,1186
2015-10-14,2033
2015-10-15,1429
2015-10-16,1530
2015-10-17,460
2015-10-18,373
2015-10-19,1359
2015-10-20,1813
2015-10-21,1700
2015-10-22,1731
2015-10-23,1580
2015-10-24,464
2015-10-25,363
2015-10-26,1577
2015-10-27,1788
2015-10-28,746
2015-10-29,1161
2015-10-30,1345
2015-10-31,391
2015-11-01,279
2015-11-02,1589
2015-11-03,1957
2015-11-04,1864
2015-11-05,2018
2015-11-06,1290
2015-11-07,501
2015-11-08,384
2015-11-09,1648
2015-11-10,1531
2015-11-11,869
2015-11-12,793
2015-11-13,881
2015-11-14,297
2015-11-15,363
2015-11-16,1536
2015-11-17,1422
2015-11-18,1457
2015-11-19,1011
2015-11-20,1229
2015-11-21,320
2015-11-22,283
2015-11-23,1142
2015-11-24,593
2015-11-25,770
2015-11-26,1031
2015-11-27,747
2015-11-28,221
2015-11-29,314
2015-11-30,897
2015-12-01,578
2015-12-02,597
2015-12-03,756
2015-12-04,769
2015-12-05,324
2015-12-06,302
2015-12-07,943
2015-12-08,970
2015-12-09,1060
2015-12-10,1043
2015-12-11,843
2015-12-12,343
2015-12-13,200
2015-12-14,799
2015-12-15,732
2015-12-16,861
2015-12-17,611
2015-12-18,802
2015-12-19,138
2015-12-20,151
2015-12-21,395
2015-12-22,500
2015-12-23,583
2015-12-24,523
2015-12-25,103
2015-12-26,131
2015-12-27,53
2015-12-28,61
2015-12-29,19
2015-12-30,37
2015-12-31,112
